FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a22,18588,Radgarage Kennedybr¸cke,1,13,2010-10-11,43696053,10001,Objektname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a23,18589,Eﬂlinger Furt,1,22,2010-10-14,43704546,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a24,18590,Eﬂlinger Scheiben,1,22,2010-10-14,43704551,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a25,18591,Fasangarten,1,22,2010-10-14,43704565,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a26,18592,Forstmeister Wiese,1,22,2010-10-14,43704570,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a27,18593,Laaber Kaiserzipfwiese/Faﬂlwiese,1,13,2012-06-15,43704576,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a28,18594,Festwiese,1,22,2010-10-14,43704581,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a29,18595,Finstere Allee,1,13,2010-10-14,43704643,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2a,18596,Lichte Allee,1,13,2010-10-14,43704648,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2b,18597,Lindenallee,1,13,2010-10-14,43704671,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2c,18598,Rustenallee,1,13,2010-10-14,43704676,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2d,18599,Tiergartenallee,1,13,2010-10-14,43704681,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2e,18600,Obeliskenallee,1,13,2010-10-14,43704686,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a2f,20315,Anton-Benya-Park,1,4,2010-10-15,43706100,7252,Park
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a30,18601,Fischerwiese,1,19,2010-10-15,43706108,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a31,18602,Forstwiesen,1,2,2010-10-15,43706113,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a32,18603,Alte Napoleonstraﬂe,1,22,2010-10-18,43707645,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a33,18604,Lobgrund,1,22,2010-10-18,43707650,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a34,18605,F¸rstenwiese,1,13,2010-10-18,43707720,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a35,18606,Gallein,1,19,2010-10-18,43707725,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a36,18607,Gspˆtt,1,19,2010-10-18,43707730,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a37,18608,Gangelbergermais,1,22,2010-10-19,43708040,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a38,18609,Sommermais,1,22,2014-02-11,43708045,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a39,18610,Maderbaumwiese,1,22,2010-10-19,43708050,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3a,18611,G‰nshaufen,1,22,2010-10-19,43708055,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3b,18612,G‰nshaufen Tor,1,22,2010-10-19,43708060,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3c,18613,G‰nshaufen Traverse,1,22,2010-10-19,43708065,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3d,18614,Glatzing,1,19,2014-11-04,43708287,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3e,18615,Glutm¸llerwiese,1,13,2012-06-14,43708298,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a3f,18616,Pl‰ttenmais,1,22,2010-10-19,43709154,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a40,18617,Gr.Fasangartenh‰ufel,1,22,2010-10-20,43713196,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a41,18618,Grabner Rennweg,1,13,2010-10-20,43713202,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a42,18619,Grabstein,1,22,2010-10-20,43713207,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a43,18620,Grasmais,1,22,2010-10-20,43713389,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a44,18621,Grasmais,1,22,2014-02-11,43713561,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a45,18622,Groﬂe Dorotheerwiese,1,13,2010-10-20,43713797,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a46,18623,Kleine Dorotheerwiese,1,13,2010-10-20,43713802,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a47,18624,Schottenwald,2,14|17,2010-10-20,43714077,20080,Wald
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a48,18625,Schottenwald,1,13,2010-10-20,43714188,20080,Wald
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a49,18626,Schusterwiese,1,22,2010-10-20,43714527,20081,Wiese
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4a,18627,Gr¸nhaufen,1,2,2010-10-20,43714535,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4b,18628,Hackenbergwald,1,13,2010-10-20,43714541,20080,Wald
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4c,18629,Haindersbrunn,1,19,2010-10-20,43714547,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4d,18630,In Kˆbeln,1,21,2010-10-20,43714553,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4e,18631,Hasenleiten,1,10,2010-10-20,43714567,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a4f,18632,H‰uselschlag,1,22,2010-10-20,43714617,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a50,18633,Natterfleck,1,22,2010-10-20,43714622,7355,Flurname
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a51,18634,Hausmais,1,22,2010-10-21,43716540,10030,Riedbezeichnung
GEONAMENSVERZOGD.fid-38d71999_14c8c63a6d3_a52,18635,Hausmais,1,22,2014-02-11,43716545,10030,Riedbezeichnung
