Station;Hermannskogel;Hohe Warte;Laaer Berg;Lobau;Stephansplatz
Messwerttyp;HMW;HMW;HMW;HMW;HMW
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
01.01.2014, 00:30;27,8861694;14,519166;27,3474026;30,9451675;16,1640015
01.01.2014, 01:00;26,2120018;17,1696987;27,6985989;29,8516693;17,1032505
01.01.2014, 01:30;27,2356586;19,5013618;29,0095978;28,8818893;19,1126518
01.01.2014, 02:00;27,3533878;20,2955437;27,814333;27,6267624;18,0029907
01.01.2014, 02:30;26,1361752;18,7798138;;28,7382183;15,6040831
01.01.2014, 03:00;26,4674168;20,0381336;29,0574875;29,6321735;19,5336876
01.01.2014, 03:30;28,3770447;21,8060856;29,9095383;29,129324;22,9774055
01.01.2014, 04:00;29,78582;22,103405;30,6318836;30,444313;23,0252953
01.01.2014, 04:30;30,5480766;23,4842453;31,9209328;32,8188782;22,9135513
01.01.2014, 05:00;30,1809158;24,8730659;32,3918571;34,3892822;24,4899426
01.01.2014, 05:30;31,3322811;24,6914825;34,2655678;35,2074127;25,4776821
01.01.2014, 06:00;32,5854111;24,9648552;33,5332413;37,127018;23,9671402
01.01.2014, 06:30;31,471962;24,9828148;32,7989235;37,8473663;24,1646881
01.01.2014, 07:00;31,4739571;25,8867455;32,9505768;37,6298676;25,0785961
01.01.2014, 07:30;31,5956783;25,788969;33,1880341;36,0375099;24,4959297
01.01.2014, 08:00;31,7273769;25,6213531;31,6276054;31,3462486;24,0589294
01.01.2014, 08:30;31,0888386;25,5634861;29,3747616;34,2416229;23,6059666
01.01.2014, 09:00;30,0591946;23,9571629;27,6886215;32,3260078;22,33288
01.01.2014, 09:30;0;21,7761555;27,6207771;30,5939713;21,7562008
01.01.2014, 10:00;30,6199112;22,8057976;29,6401539;28,2872505;21,8459949
01.01.2014, 10:30;29,8337116;;30,3924332;27,475111;21,9198265
01.01.2014, 11:00;26,8385677;21,7442284;31,1746426;26,2998009;22,4146938
01.01.2014, 11:30;31,5118694;29,6680908;33,7367783;24,9049931;25,1923351
01.01.2014, 12:00;32,4916267;30,1370163;35,7401924;34,2256584;24,5996914
01.01.2014, 12:30;36,0035896;20,4132748;33,1441345;;25,6652527
01.01.2014, 13:00;43,095356;21,4908085;42,7481499;39,6013527;32,2900887
01.01.2014, 13:30;44,6857147;25,0067596;45,6016197;34,5050201;31,8012085
01.01.2014, 14:00;47,0323448;29,6102238;44,9251671;33,3676224;34,1079292
01.01.2014, 14:30;50,3647156;35,3750267;45,8430672;33,1321602;34,2196732
01.01.2014, 15:00;45,5756798;35,0557594;42,4448433;32,1863251;33,0403709
01.01.2014, 15:30;39,1164627;31,9628372;39,2561455;31,3123264;32,6492653
01.01.2014, 16:00;39,3000412;31,1147785;33,5651703;31,7533169;27,4092617
01.01.2014, 16:30;33,9223518;21,3291779;31,8231583;30,8134689;23,673811
01.01.2014, 17:00;27,8043556;12,701726;22,2590504;29,8077698;17,9339504
01.01.2014, 17:30;27,9460316;15,8489218;20,5549507;28,4408989;14,6500664
01.01.2014, 18:00;25,0706139;12,9996443;23,6239262;26,1840649;11,9448586
01.01.2014, 18:30;23,6119518;15,8293667;24,73139;23,9292259;15,7916536
01.01.2014, 19:00;23,1869259;17,1918488;24,9987793;21,8459949;17,9157906
01.01.2014, 19:30;24,2864094;18,4571514;23,5740395;20,7165794;16,6790218
01.01.2014, 20:00;22,1772366;19,5761909;20,0580883;20,8123608;18,9039288
01.01.2014, 20:30;23,8933086;17,8026505;20,5689182;18,9967175;17,227766
01.01.2014, 21:00;24,6675358;17,1706963;19,078928;17,593729;17,0563583
01.01.2014, 21:30;24,5238647;17,7709236;23,362524;20,0840282;
01.01.2014, 22:00;25,9146824;17,6863155;23,9172535;21,0777531;17,803648
01.01.2014, 22:30;27,4930687;16,5267715;18,4383945;22,3568249;17,205019
01.01.2014, 23:00;29,2929497;9,35678291;18,9871387;23,9292259;16,3459835
01.01.2014, 23:30;28,7960873;7,20610523;22,4705658;24,6914825;14,6698208
02.01.2014, 00:00;26,4394798;8,18566322;23,5800266;23,6558514;13,2117586
02.01.2014, 00:30;26,1062431;12,8242455;21,6105347;25,1404533;17,253109
02.01.2014, 01:00;26,788681;18,3468037;23,8553963;25,5854359;18,4745121
02.01.2014, 01:30;28,1156445;20,3773575;;26,9842339;20,1957722
02.01.2014, 02:00;29,1991634;20,7485065;26,4474621;29,3228798;21,5546627
02.01.2014, 02:30;33,6968689;22,733963;33,3157425;31,9329071;24,2405148
02.01.2014, 03:00;36,9135056;26,8505402;37,1769028;33,0603256;28,4408989
02.01.2014, 03:30;39,3958244;29,8456841;38,0967979;33,9443016;30,358511
02.01.2014, 04:00;39,8767242;32,0745811;40,0263786;35,2074127;31,7872391
02.01.2014, 04:30;43,7578392;36,4804955;45,5297852;37,5759888;34,8921318
02.01.2014, 05:00;46,1503639;35,0298157;43,5303612;37,4802094;34,696579
02.01.2014, 05:30;44,524086;36,2649918;43,1133156;36,1213188;34,3074722
02.01.2014, 06:00;43,4904518;33,355648;39,6312866;36,5762787;32,2202492
02.01.2014, 06:30;40,6210213;28,6085167;35,6543884;36,8376808;28,8399868
02.01.2014, 07:00;37,5719986;25,6393127;35,2433281;36,270977;25,4357777
02.01.2014, 07:30;37,097084;26,4654217;35,4508553;34,4990311;24,1567059
02.01.2014, 08:00;36,039505;23,9052811;35,52668;32,1224709;23,9990673
02.01.2014, 08:30;;26,1122303;35,6164742;40,2957649;25,7211246
02.01.2014, 09:00;38,9169197;26,1122303;36,2071228;40,465374;27,2336636
02.01.2014, 09:30;39,6612167;;37,3604813;41,4830475;26,1720924
02.01.2014, 10:00;39,5095634;29,9334831;38,0409241;41,4630928;27,4471741
02.01.2014, 10:30;40,8145752;31,1965923;39,2741013;43,6580658;28,7821178
02.01.2014, 11:00;42,552597;31,4500122;42,9656525;45,0728302;33,0703011
02.01.2014, 11:30;43,6760254;33,2838135;42,8758583;;33,553196
02.01.2014, 12:00;44,1150208;37,3245659;42,1694756;48,5847893;36,0754242
02.01.2014, 12:30;45,9168968;39,5295181;46,12043;50,1452179;36,4166412
02.01.2014, 13:00;47,1181488;40,7706757;46,6951141;50,7318764;39,7909203
02.01.2014, 13:30;46,5773849;40,3177147;49,2013779;50,1372375;39,014698
02.01.2014, 14:00;47,4553757;38,0169792;46,8447723;48,8541756;36,4226303
02.01.2014, 14:30;37,9950294;37,5360794;40,5012932;49,8917999;28,6643887
02.01.2014, 15:00;36,5862541;29,5603371;22,4905205;45,3082886;23,8853264
02.01.2014, 15:30;35,6484032;26,4993439;13,9618416;39,8886948;21,10569
02.01.2014, 16:00;38,4140701;18,9388485;7,9049058;38,8610497;17,0990601
02.01.2014, 16:30;41,4152031;12,5468807;9,2621994;22,0395527;16,9725494
02.01.2014, 17:00;41,26754;11,1652431;10,8240242;13,7692823;13,2137537
02.01.2014, 17:30;38,156662;5,67860174;10,6085176;8,02662754;9,2452383
02.01.2014, 18:00;34,044075;3,37248039;6,94610071;3,77635598;7,95738554
02.01.2014, 18:30;31,3961353;8,48537731;6,56956244;2,81495667;4,52344608
02.01.2014, 19:00;33,0782852;3,20266914;5,62831688;2,43003774;6,99538755
02.01.2014, 19:30;32,3818779;2,52162814;5,40183544;2,565727;5,90129185
02.01.2014, 20:00;33,5791397;3,86634994;5,66283798;2,22929716;3,82424641
02.01.2014, 20:30;33,7088394;2,48790526;5,29607725;2,08682323;
02.01.2014, 21:00;41,4431381;2,11635566;5,31104326;2,26002693;4,25146866
02.01.2014, 21:30;43,2310448;2,01917815;5,57703447;2,21233606;3,06937432
02.01.2014, 22:00;47,5092506;1,83589768;6,771101;2,2235105;7,6425066
02.01.2014, 22:30;50,7757759;2,23967338;6,00086403;2,06287813;10,4245386
02.01.2014, 23:00;56,3430328;2,2235105;5,47347116;2,46475816;2,78103423
02.01.2014, 23:30;73,2563171;2,08762145;5,54151583;2,59785366;2,68665028
03.01.2014, 00:00;68,3675079;1,87810111;5,69017553;2,60224342;2,6046381
03.01.2014, 00:30;29,3049221;1,99822605;;3,8168633;2,86903286
03.01.2014, 01:00;31,3462486;1,90039003;9,73691273;3,59636807;5,07837582
03.01.2014, 01:30;51,6397972;1,87566662;12,3028393;2,97798347;4,26463842
03.01.2014, 02:00;65,3484192;2,26481581;8,98204041;2,52581835;4,05312252
03.01.2014, 02:30;76,1157761;2,19677162;5,64847088;2,4916966;2,5130477
03.01.2014, 03:00;77,1055069;2,7032125;5,38347721;2,50307059;2,62000299
03.01.2014, 03:30;77,5684509;1,56340146;6,15092087;2,38913131;2,6403563
03.01.2014, 04:00;72,250618;1,87881947;6,72001791;2,06088257;2,53200436
03.01.2014, 04:30;68,8244629;2,42584729;8,76773071;2,30691957;2,7616787
03.01.2014, 05:00;68,6728058;3,27310801;8,75156784;2,4005053;2,85306931
03.01.2014, 05:30;71,6180649;1,87752235;9,06884193;2,2161274;3,09411764
03.01.2014, 06:00;72,2925262;1,53285134;6,69986439;2,594661;2,80378222
03.01.2014, 06:30;64,5442581;1,92365682;8,42192268;2,40808797;2,77325201
03.01.2014, 07:00;71,7258224;1,73820126;8,21539497;2,45478106;2,88100553
03.01.2014, 07:30;;2,05749035;7,08298731;2,67467761;2,86703753
03.01.2014, 08:00;74,5114441;2,01718283;5,9262352;2,6716845;2,97918081
03.01.2014, 08:30;63,7520714;;6,29798412;2,69403338;3,20685959
03.01.2014, 09:00;44,6857147;3,11447096;6,45841694;3,64725161;3,23240113
03.01.2014, 09:30;35,9936104;3,36769152;10,5077477;4,61044693;4,02817965
03.01.2014, 10:00;25,4277954;4,04753542;18,642128;8,59951591;5,19590664
03.01.2014, 10:30;20,7006168;6,93153381;19,6576042;;7,33201694
03.01.2014, 11:00;16,0189323;8,92876244;22,5922871;22,1512966;19,4979687
03.01.2014, 11:30;29,5523548;11,4372206;28,3311501;25,2980938;21,1076851
03.01.2014, 12:00;28,9557209;19,3973999;26,6689548;27,2356586;22,4126987
03.01.2014, 12:30;28,103672;22,0375557;27,0720329;24,5138874;17,6027069
03.01.2014, 13:00;27,6487122;23,9831028;25,501627;24,9748325;15,8644867
03.01.2014, 13:30;28,6224842;18,9468307;24,930933;24,4141159;14,8631783
03.01.2014, 14:00;27,8123379;14,4856424;21,3172054;24,074894;15,1800528
03.01.2014, 14:30;18,5748825;11,9616203;20,4232521;23,4084187;10,5708036
03.01.2014, 15:00;14,594593;9,93086815;18,6790447;22,5084782;10,6161003
03.01.2014, 15:30;11,5583429;8,03241444;14,3114414;22,6062546;7,4082427
03.01.2014, 16:00;8,25809765;5,52954292;11,505065;21,8559723;5,07438469
03.01.2014, 16:30;17,657383;2,28057981;12,7268686;14,9876938;3,24896312
03.01.2014, 17:00;23,9471855;2,06128168;8,6529932;10,3776455;2,97079992
03.01.2014, 17:30;22,4526062;2,121943;5,60516977;7,83307028;4,55796671
03.01.2014, 18:00;26,9503117;2,14868164;5,0893507;4,61862803;3,14320517
03.01.2014, 18:30;26,1541328;1,89933252;6,1427393;2,6643014;3,39901972
03.01.2014, 19:00;23,3226147;1,87371111;5,1408329;2,71199226;3,80149841
03.01.2014, 19:30;27,2496262;1,8693012;6,07908487;2,62399364;
03.01.2014, 20:00;30,1290359;2,4432075;6,14413643;2,52082992;3,82145286
03.01.2014, 20:30;30,7795467;2,13152099;5,64507866;2,54118323;3,4155817
03.01.2014, 21:00;32,4138069;2,3033278;5,04824448;2,0804379;3,74203467
03.01.2014, 21:30;32,3000641;2,29953647;5,11968136;2,36618376;3,72188067
03.01.2014, 22:00;27,3932972;2,25783181;4,96224165;2,45518017;3,80948019
03.01.2014, 22:30;24,6196461;2,17941141;5,90887451;2,58667922;3,18451071
03.01.2014, 23:00;9,27736473;2,28536892;5,0578227;2,43781996;3,17213893
03.01.2014, 23:30;10,5817785;2,1977694;;2,61301875;2,97598815
04.01.2014, 00:00;16,3603516;1,92467451;5,40542698;2,80517912;2,92310905
04.01.2014, 00:30;16,6484928;2,59166765;4,97401476;2,65572119;2,98396969
04.01.2014, 01:00;19,2607136;4,35124016;5,05243492;2,66290474;2,70740271
04.01.2014, 01:30;19,873909;4,18023157;5,03327894;3,05460811;3,02168345
04.01.2014, 02:00;18,7714329;2,90515018;5,37529612;2,83012199;3,03365612
04.01.2014, 02:30;24,274437;1,98938632;7,12349463;2,6058352;3,31002355
04.01.2014, 03:00;44,5420456;1,80965769;5,85898876;2,73753381;3,92222214
04.01.2014, 03:30;30,5281219;1,90090883;4,99895763;2,9843688;2,44181085
04.01.2014, 04:00;56,6403503;1,84541583;5,00195074;2,54058456;2,47573304
04.01.2014, 04:30;55,3413239;1,87834048;5,64447975;2,83131909;2,52202725
04.01.2014, 05:00;36,4066658;1,9432919;6,41990519;2,73533893;2,60803032
04.01.2014, 05:30;23,5461044;1,69603777;6,96366024;2,6202023;2,57350922
04.01.2014, 06:00;13,9598465;1,55470133;6,051548;2,97060037;2,67587495
04.01.2014, 06:30;;1,51387477;5,79134369;5,8657732;2,25882959
04.01.2014, 07:00;49,7501221;1,59285402;7,16779327;6,89302206;2,34523177
04.01.2014, 07:30;46,4736214;;4,81976748;4,15868092;2,19158363
04.01.2014, 08:00;43,123291;2,1117661;5,54490805;4,54399872;2,57111478
04.01.2014, 08:30;14,0408611;2,28696513;6,98141956;4,5519805;2,9787817
04.01.2014, 09:00;12,9315996;2,82972288;6,89222383;7,40844202;3,47424746
04.01.2014, 09:30;14,3555403;3,08314276;6,59450531;;3,86235905
04.01.2014, 10:00;13,0980186;4,99656296;10,2948351;14,9972715;4,30873728
04.01.2014, 10:30;9,91510487;3,84639573;9,598629;16,0989494;4,64556646
04.01.2014, 11:00;9,9526186;5,09394026;13,3364735;16,5136013;10,6863394
04.01.2014, 11:30;12,6388702;6,97423601;18,174799;18,831295;11,7762442
04.01.2014, 12:00;15,9375191;8,36166;16,5567017;18,0377121;10,3441229
04.01.2014, 12:30;16,1161098;10,2992249;15,2504921;19,1411858;10,6512194
04.01.2014, 13:00;16,8464394;10,0005093;16,8544197;22,6900635;11,0249643
04.01.2014, 13:30;18,0373135;9,25501537;18,7784157;18,9538155;12,2298059
04.01.2014, 14:00;16,9051037;13,5605602;18,9312668;17,8034477;14,0592184
04.01.2014, 14:30;16,2577858;14,3756943;17,5825539;15,9405127;12,2627306
04.01.2014, 15:00;14,1270638;9,57647991;19,8198338;18,0468903;12,6542349
04.01.2014, 15:30;20,8981647;10,5205183;21,4169769;20,3893299;12,9533501
04.01.2014, 16:00;18,5042439;8,31676292;19,8858814;19,3862247;12,1386147
04.01.2014, 16:30;18,4058685;8,77750874;21,6424618;23,9192486;14,3605289
04.01.2014, 17:00;24,0070477;11,7870197;22,5024929;26,6889095;14,7464457
04.01.2014, 17:30;23,5660572;12,471653;20,9101372;26,5332661;11,4298372
04.01.2014, 18:00;19,5159283;10,2233992;18,1275063;24,6236362;10,7100849
04.01.2014, 18:30;17,4815845;10,1260214;17,0862904;20,3075161;
04.01.2014, 19:00;15,9067898;10,4015913;19,5855694;21,4089947;9,54255772
04.01.2014, 19:30;17,8311844;11,1644449;21,0997028;22,4605885;10,4151602
04.01.2014, 20:00;20,5250187;13,5398073;26,7806988;25,4637146;13,6591349
04.01.2014, 20:30;27,4052696;15,4392595;28,3191776;27,9440365;18,6399345
04.01.2014, 21:00;32,6313095;19,494976;28,3690643;26,0703259;19,2555237
04.01.2014, 21:30;34,3413925;20,5150414;31,4240704;27,4850864;21,1416073
04.01.2014, 22:00;34,670639;21,3132153;35,0737152;34,8442421;23,1091042
04.01.2014, 22:30;37,6218834;25,3499737;;42,5406265;24,4779701
04.01.2014, 23:00;40,8325348;28,4468861;44,8174133;45,3980865;29,9434605
04.01.2014, 23:30;43,4285927;31,90098;44,1369705;47,1121597;31,5976734
05.01.2014, 00:00;44,3444977;31,7313671;39,6691971;46,5175209;31,2464771
05.01.2014, 00:30;43,6121712;34,2456131;41,9779129;47,4613609;31,7712765
05.01.2014, 01:00;44,8832626;36,4206352;46,6791534;49,1674576;36,7079773
05.01.2014, 01:30;46,4476814;38,6435471;48,2176323;49,2392921;37,3245659
05.01.2014, 02:00;45,1885643;39,3379555;48,1976776;49,2532616;37,3644753
